Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,Qty2,Qty3,
399-1147-1-ND,Kemet,C0805C102K5RACTU,REF66,2,10,50,
478-1542-1-ND,AVX Corporation,12065C103KAT2A,REF4,1,5,25,
399-1158-1-ND,Kemet,C0805C103K5RACTU,REF67,1,5,25,
399-5110-1-ND,Kemet,C0805F104K5RACTU,REF70,18,90,450,
399-1249-1-ND,Kemet,C1206C104K5RACTU,REF68,3,15,75,
399-3676-1-ND,Kemet,T491A104K035AT,REF23,1,5,25,
M6093CT-ND,JW Miller A Bourns Company,PM1210-R10J,REF21,1,5,25,
399-1166-1-ND,Kemet,C0805C473K5RACTU,REF69,2,10,50,
399-5112-1-ND,Kemet,C0805F474K3RACTU,REF75,3,15,75,
399-1157-1-ND,Kemet,C0805C682K5RACTU,REF80,1,5,25,
311-0.0ARCT-ND,Yageo,RC0805JR-070RL,REF93,2,10,50,
P1.00KCCT-ND,Panasonic - ECG,ERJ-6ENF1001V,REF46,2,10,50,
P1.00MCCT-ND,Panasonic - ECG,ERJ-6ENF1004V,REF47,4,20,100,
399-1293-1-ND,Kemet,C0805C105Z3VACTU,REF74,14,70,350,
399-3678-1-ND,Kemet,T491A105K016AT,REF24,1,5,25,
399-3690-1-ND,Kemet,T491A225K010AT,REF25,1,5,25,
XC1371-ND,ECS Inc,ECS-35-18-10X,REF18,1,5,25,
XC1258CT-ND,ECS Inc,ECS-40.3-20-5PX-TR,REF17,1,5,25,
P4.75KCCT-ND,Panasonic - ECG,ERJ-6ENF4751V,REF56,7,35,175,
BZT52C5V1-FDITR-ND,Diodes Inc,BZT52C5V1-7-F,REF11,1,5,25,
P5.62KCCT-ND,Panasonic - ECG,ERJ-6ENF5621V,REF60,1,5,25,
P8.25KCCT-ND,Panasonic - ECG,ERJ-6ENF8251V,REF62,1,5,25,
744C083103JPCT-ND,CTS Resistor Products,744C083103JPTR,REF9,1,5,25,
P10.0KCCT-ND,Panasonic - ECG,ERJ-6ENF1002V,REF48,19,95,475,
EGG14BK-ND,Panasonic - ECG,EVM-EGGA00B14,REF43,5,25,125,
L4G14BK-ND,Panasonic - ECG,EVM-L4GA00B14,REF45,2,10,50,
399-3138-1-ND,Kemet,C0805C106K9PACTU,REF73,2,10,50,
399-3708-1-ND,Kemet,T491B106M016AT,REF26,3,15,75,
M9719CT-ND,JW Miller A Bourns Company,PM3308-100M,REF22,1,5,25,
P11.3KCCT-ND,Panasonic - ECG,ERJ-6ENF1132V,REF50,1,5,25,
XC1383-ND,ECS Inc,ECS-160-18-9X,REF19,1,5,25,
1SMB5931BT3GOSTR-ND,ON Semiconductor,1SMB5931BT3G,REF37,1,5,25,
P22.1KCCT-ND,Panasonic - ECG,ERJ-6ENF2212V,REF52,9,45,225,
399-1113-1-ND,Kemet,C0805C220J5GACTU,REF72,2,10,50,
399-3717-1-ND,Kemet,T491B226M016AT,REF27,3,15,75,
X1124-ND,ECS Inc,ECS-.327-12.5-13X,REF16,1,5,25,
P33.2KCCT-ND,Panasonic - ECG,ERJ-6ENF3322V,REF54,2,10,50,
399-1115-1-ND,Kemet,C0805C330J5GACTU,REF76,2,10,50,
P47.5CCT-ND ,Panasonic - ECG,ERJ-6ENF47R5V,REF58,5,25,125,
P48.7ACCT-ND,Panasonic - ECG,ERJ-12SF48R7U,REF59,1,5,25,
P61.9KCCT-ND,Panasonic - ECG,ERJ-6ENF6192V,REF61,1,5,25,
P90.9KCCT-ND,Panasonic - ECG,ERJ-6ENF9092V,REF63,1,5,25,
P93.1KCCT-ND,Panasonic - ECG,ERJ-6ENF9312V,REF64,1,5,25,
P100KCCT-ND,Panasonic - ECG,ERJ-6ENF1003V,REF49,13,65,325,
399-1122-1-ND,Kemet,C0805C101J5GACTU,REF65,3,15,75,
PCE3879CT-ND,Panasonic - ECG,EEE-1CA101P,REF81,1,5,25,
P150KCCT-ND,Panasonic - ECG,ERJ-6ENF1503V,REF51,1,5,25,
182-09ME-ND,Norcomp Inc.,182-009-113R531,REF35,1,5,25,
EGG25BK-ND,Panasonic - ECG,EVM-EGGA00B25,REF44,1,5,25,
P301KCCT-ND,Panasonic - ECG,ERJ-6ENF3013V,REF53,1,5,25,
P332KCCT-ND,Panasonic - ECG,ERJ-6ENF3323V,REF55,1,5,25,
P464AACT-ND,Panasonic - ECG,ERJ-14NF4640U,REF57,1,5,25,
399-1133-1-ND,Kemet,C0805C471J5GACTU,REF77,2,10,50,
PCE3909CT-ND,Panasonic - ECG,EEE-1EA471P,REF82,2,10,50,
399-1134-1-ND,Kemet,C0805C561J5GACTU,REF79,1,5,25,
399-1150-1-ND,Kemet,C0805C152K5RACTU,REF71,4,20,100,
399-1155-1-ND,Kemet,C0805C472K5RACTU,REF78,1,5,25,
WM4906-ND,Molex Connector Corporation,70553-0007,REF31,1,5,25,
A19423-ND,Tyco Electronics ,640454-2,REF88,1,5,25,
A19435-ND,Tyco Electronics ,640454-8,REF89,1,5,25,
AD1584BRTZ-REEL7CT-ND,Analog Devices Inc,AD1584BRTZ-REEL7,REF2,1,5,25,
BAV16W-FDICT-ND,Diodes Inc,BAV16W-7-F,REF10,1,5,25,
BZT52C5V6-FDICT-ND,Diodes Inc,BZT52C5V6-7-F,REF12,2,10,50,
432-1164-ND,Carling Technologies,2M1-SP1-T2-B4-M6RE,REF6,1,5,25,
240-2454-1-ND,Laird-Signal Integrity Products,CM1812R600R-10,REF28,1,5,25,
DS1307Z+-ND,Maxim Integrated Products,DS1307Z+,REF29,1,5,25,
ED2427-ND,On Shore Technology Inc,EDSTLZ951/2,REF40,1,5,25,
ED2409-ND,On Shore Technology Inc,EDZ951/2,REF39,1,5,25,
M1331CT-ND,JW Miller A Bourns Company,PM2001-200,REF20,1,5,25,
IRF614SPBF-ND,Vishay/Siliconix,IRF614SPBF,REF91,2,10,50,
ISD4002-240SY,Nuvoton Technology Corporation,ISD4002-240SY,REF36,1,5,25,
497-1200-1-ND,STMicroelectronics,L78L33ACUTR,REF83,1,5,25,
497-1440-5-ND,STMicroelectronics,L7805ACD2T,REF84,1,5,25,
296-1390-5-ND,Texas Instruments,LM324D,REF85,1,5,25,
MAX323CSA+-ND,Maxim Integrated Products,MAX323CSA+,REF30,1,5,25,
296-19808-1-ND,Texas Instruments,MAX3243ECPWR,REF86,1,5,25,
ATMEGA1281-16AU-ND,Atmel,ATMEGA1281-16AU,REF3,1,5,25,
MF-SM030CT-ND,Bourns Inc.,MF-SM030-2,REF5,1,5,25,
MMBTA05LT1GOSCT-ND,ON Semiconductor,MMBTA05LT1G,REF38,2,10,50,
490-2451-1-ND,Murata Electronics North America,NCP21WF104J03RA,REF34,1,5,25,
L20085-ND,Chicago Miniature Lighting,5350T5,REF7,1,5,25,
RS1GB-FDICT-ND,Diodes Inc,RS1GB-13-F,REF13,3,15,75,
296-2423-5-ND,Texas Instruments,TLC084CD,REF87,1,5,25,
ZXMN6A07ZCT-ND,Diodes/Zetex,ZXMN6A07ZTA,REF14,1,5,25,
