114-00841-68-1-ND,Amphenol Commercial Products,114-00841-68,CONN MINI MICRO-SD 8PIN PCB GOLD,5,25,50,
24FC128-I/MS-ND,Microchip,24FC128-I/MS,IC EEPROM 128KBIT 1MHZ 8MSOP,5,25,50,
296-17014-1-ND,Texas Instruments,SN74LVC2T45,Translator, Bidirectional, 3-State, 2bits,5,25,50,
296-21931-1-ND,Texas Instruments,TXS0102DCUR,IC VOLT-LEVEL TRANSLATOR 8-US8,15,75,150,
296-23279-1-ND,Texas Instruments,SN74LVC8T245DBQR,IC BUS TRANSCVR 8BIT 24QSOP,5,25,50,
311-1014-1-ND,Yageo,CC0402JRNP09BN100,CAP CERAMIC 10PF 50V NP0 0402,20,100,200,
311-1028-1-ND,Yageo,CC0402KRX7R9BB471,CAP 470PF 50V CERAMIC X7R 0402,10,50,100,
311-1042-1-ND,Yageo,CC0402KRX7R7BB103,CAP 10000PF 16V CERAMIC X7R 0402,20,100,200,
311-1047-1-ND,Yageo,CC0402ZRY5V7BB104,CAP .10UF 16V CERAMIC Y5V 0402,100,635,1270,
311-39.2KLRCT-ND,Yageo,RC0402FR-0739K2L,RES 39.2K OHM 1/16W 1% 0402 SMD,10,50,100,
342-1082-1-ND,Honeywell,HMC5883L,IC COMPASS 3 AXIS I2C 16LCC SMD,5,25,50,
399-3696-1-ND,Kemet,T491A475K010AT,CAPACITOR TANT 4.7UF 10V 10% SMD,5,25,50,
399-5175-1-ND,Kemet,T491X107K025ZT,CAP TANT 100UF 25V 10% SMD,5,25,50,
3M9197CT-ND,3M,951230-2520-AR-PR,CONN HEADER 30POS 2MM VERT SMD,5,25,50,
3M9272CT-ND,3M,953230-2000-AR-PR,CONN SOCKET 30POS 2MM VERT SMD,5,25,50,
445-3444-1-ND,TDK Corporation,C1005Y5V1C224Z,CAP CER .22UF 16V Y5V 0402,5,25,50,
445-3449-1-ND,TDK Corporation,C1608Y5V0J475Z,CAP CER 4.7UF 6.3V Y5V 0603,8,40,80,
445-3451-1-ND,TDK Corporation,C1608Y5V1C225Z,CAP CER 2.2UF 16V Y5V 0603,10,50,100,
455-1658-ND,JST,B3B-ZR,CONN HEADER ZH TOP 3POS 1.5MM,5,25,50,
455-1706-ND,JST,B4B-PH-K,CONN HEADER PH TOP 4POS 2MM,5,25,50,
455-1806-1-ND,JST,SM06B-SRSS-TB,CONN HEADER SH 6POS SIDE 1MM TIN,5,25,50,
455-1847-ND,JST,S02B-PASK-2,CONN HEADER PA 2POS SIDE 2MM TIN,5,25,50,
490-3274-1-ND,Murata Electronics,GRM155F51C474ZA01D,CAP CER .47UF 16V Y5V 0402,5,25,50,
493-2351-1-ND,Nichicon,F931A106MAA,CAP TANTALUM 10UF 10V 20% SMD,17,85,170,
497-10397-1-ND,STMicroelectronics,LIS331DLH,ACCELEROMETER MEMS 3AXIS 16-LGA,1,25,50,
497-10499-ND,STMicroelectronics,STM32F100C8T6B,MCU 32BIT ARM 64K FLASH 48LQFP,5,25,50,
497-11071-1-ND,STMicroelectronics,L3G4200DH,IC GYROSCOPE MEMS 3AXIS LP 16LGA,1,25,50,
497-6856-1-ND,STMicroelectronics,STMPS2171STR,IC PWR SWITCH 1CH 1000MA SOT23-5,5,25,50,
568-4843-1-ND,NXP Semiconductors,74LVC2GU04GW,125,IC DUAL INVERTER SC88-6,5,25,50,
576-1267-1-ND,Micrel Inc,MIC5207-3.3YM5,IC REG LDO 180MA 3.3V SOT23-5,5,25,50,
587-1921-1-ND,Taiyo Yuden,BKP1005HS121-T,FERRITE BEAD 120 OHM 0402,100,500,1000,
679-1854-ND,APEM Components, LLC,MMS1208,SWITCH MICRO-MINI SLIDE,1,5,10,
766-1008-1-ND,ON Semiconductor,AMIS42673ICAG1RG,TRANSCEIVER CAN HS 3.3V 8-SOIC,5,25,50,
828-1005-1-ND,Bosch Sensortec,BMP0805,DIGITAL BAROMETRIC PRESSURE SNSR,5,25,50,
887-1316-1-ND,TXC CORPORATION,7M-12.000MEEQ-T,CRYSTAL 12.000 MHZ 10PF SMD,1,5,10,
93LC46BT-I/STCT-ND,Microchip Technology,93LC46BT-I/ST,IC EEPROM 1KBIT 2MHZ 8TSSOP,1,5,10,
952-1395-ND,Harwin Inc,M50-3900542,CONN HDR 1.27MM R/A AU 10POS,11,55,110,
AP2151WGDICT-ND,Diodes Inc,AP2151WG-7,IC PWR SW USB 1CH 0.5A SOT-25-5,15,75,150,
H11671CT-ND,Hirose Electric Co Ltd,UX60SC-MB-5ST(80),CONN RCPT USB MINI B R/A SMD,1,5,10,
LNJ337W83RACT-ND,Panasonic - SSG,LNJ337W83RA,LED GREEN HIGH BRIGHT ESS SMD,11,55,110,
LNJ437W84RACT-ND,Panasonic - SSG,LNJ437W84RA,LED AMBER HIGH BRIGHT ESS SMD,10,50,100,
LNJ937W8CRACT-ND,Panasonic - SSG,LNJ937W8CRA,LED BLUE HIGH BRIGHT ESS SMD,10,50,100,
MF-FSMF020X-2CT-ND,Bourns Inc.,MF-FSMF020X-2,FUSE PTC RESET 200MA SMD 0603,5,25,50,
MF-FSMF050X-2CT-ND,Bourns Inc.,MF-FSMF050X-2,FUSE PTC RESET 500MA SMD 0603,11,55,110,
MSS1P4-M3/89AGICT-ND,Vishay,MSS1P4-M3/89A,DIODE SCHOTTKY 1A 40V MICROSMP,21,105,210,
NTGS4111PT1G,ON Semiconductor,NTGS4111P,MOSFET P-CH 30V 2.6A 6-TSOP,16,80,160,
NX3225SA-24.000000MHZ,NDK,NX3225SA-24.000000MHZ,CRYSTAL 24.000000 MHZ 8PF SMD,10,50,100,
OR994-ND,Omron Electronics Inc-EMC Div,XG4C-3031,CONN PLUG 30POS 3A 300V STRT DIP,1,5,10,
P120JCT-ND,Panasonic - ECG,P120JCT-ND,RES 120 OHM 1/10W 5% 0402 SMD,5,25,50,
P12278SCT-ND,Panasonic - ECG,EVQP7J01K,SWITCH LT 3.5MMX2.9MM 160GF SMD,5,25,50,
P13595SCT-ND,Panasonic - ECG,EVQ-5PN04K,SWITCH LT TOUCH 6X3.5 240GF SMD,1,5,10,
P205LCT-ND,Panasonic - ECG,ERJ-2RKF2050X,RES 205 OHM 1/10W 1% 0402 SMD,5,25,50,
RHM270JCT-ND,Rohm Semiconductor,MCR01MZPJ271,RES 270 OHM 1/16W 5% 0402 SMD,30,150,300,
RHM82JCT-ND,Rohm Semiconductor,MCR01MZPJ820,RES 82 OHM 1/16W 5% 0402 SMD,20,100,200,
RMCF0402FT10K0CT-ND,Stackpole Electronics Inc,RMCF0402FT10K0,RES 10K OHM 1/16W 1% 0402 SMD,57,285,570,
RMCF0402FT1K00CT-ND,Stackpole Electronics Inc,RMCF0402FT1K00,RES 1K OHM 1/16W 1% 0402 SMD,1,5,10,
RMCF0402JT100RCT-ND,Stackpole Electronics Inc,RMCF0402JT100R,RES 100 OHM 1/16W 5% 0402 SMD,20,100,200,
RMCF0402JT1K00CT-ND,Stackpole Electronics Inc,RMCF0402JT1K00,RES 1K OHM 1/16W 5% 0402 SMD,10,50,100,
RMCF0402JT1K50CT-ND,Stackpole Electronics Inc,RMCF0402JT1K50,RES TF 1.5K OHM 5% 1/16W 0402,50,250,500,
RMCF0402JT22R0CT-ND,Stackpole Electronics Inc,RMCF0402JT22R0,RES TF 22 OHM 5% 1/16W 0402,20,100,200,
RMCF0402JT470RCT-ND,Stackpole Electronics In,RMCF0402JT470R,RES TF 470 OHM 5% 1/16W 0402,10,50,100,
RMCF0402ZT0R00CT-ND,Stackpole Electronics Inc,RMCF0402ZT0R00,RES 0.0 OHM 1/16W 0402 SMD,10,50,100,
TC164J-100CT-ND,Yageo,TC164-JR-07100RL,RES ARRAY 100 OHM 8TRM 4 RES SMD,10,50,100,
TLP3123F-ND,Toshiba,TLP3123(F),PHOTORELAY MOSFET 1A 4-SOP,10,50,100,
WM1731-ND,Molex Inc,53047-02,CONN HEADER 2POS 1.25MM VERT TIN,20,100,200,
WM1733-ND,Molex Inc,53047-04,CONN HEADER 4POS 1.25MM VERT TIN,5,25,50,
WM7632CT-ND,Molex Inc,53261-15,CONN HEADER 15POS 1.25MM R/A SMD,5,25,50,
